location,claim_summary,dataset,config_or_comparison,metric,group,target_table,evidence_type,source
Abstract; §5.1,"TaxPro-CL highest mean Recall@20 on Near-Cold, all 4 datasets",all 4,TaxPro-CL-main vs. 5 baselines,Recall@20,near_cold,Table S1,"point estimate, 3-seed mean",metrics_seed.csv (variant=TaxPro-CL-main)
Abstract; §5.6,Bootstrap interval excludes zero only on Amazon-Book (Near-Cold),amazon-book,TaxPro-CL vs. SimGCL,Recall@20 diff.,near_cold,Table 11 (bootstrap),"per-user bootstrap CI, 2000 resamples",tools/analysis/seed_matched_bootstrap.py -> results/ (Table 11 source)
Abstract; §5.1,"+10.03% to +18.98% on Long-Tail vs. SimGCL, all 4 datasets",all 4,TaxPro-CL-main vs. SimGCL-main,Recall@20 % change,long_tail,Table 7 (deltas),"point estimate, 3-seed mean","metrics_seed.csv (variant=TaxPro-CL-main, SimGCL-main)"
§5.1,"NDCG@20 agrees with Recall@20 ranking in 6 of 8 cells, both exceptions on ACS",all 4,6 methods,NDCG@20 vs Recall@20 rank,"near_cold, long_tail",Table S18,"point estimate, 3-seed mean, rank comparison",results/main_results_table.json; tools/analysis/main_results_table.py
§5.1,"Yelp2018/Near-Cold near-zero at K=20, exactly zero at K=10, all 6 methods",yelp2018,6 methods,"Recall@10, Recall@20",near_cold,"Table S1, Table S2","point estimate, 3-seed mean",metrics_seed.csv; results/week... K=10 rescoring script
§5.1,"ACS/Long-Tail: TaxPro-CL 3rd of 6, within 1 SD of LightGCN/SGL-ED",arts-crafts-and-sewing,6 methods,Recall@20,long_tail,Table S1,"point estimate + std, 3-seed",metrics_seed.csv (variant=TaxPro-CL-main); Table S1 std column
§5.1,A6 (β=0.4) recovers 1st place on ACS/Long-Tail,arts-crafts-and-sewing,β=0.4 vs. β=0,Recall@20,long_tail,Table S9,"point estimate, 3-seed mean",log/p0/taxprocl/arts-crafts-and-sewing/ablation-A6-same_leaf_weight0.4
§5.1,K=10 rescoring does not change main finding's direction,all 4,TaxPro-CL vs. SimGCL,"Recall@10, NDCG@10 % change","near_cold, long_tail",Table S2,"point estimate, 3-seed mean","same checkpoints as Table 7, cutoff changed only"
§5.1,"TaxPro-CL trails SimGCL/XSimGCL on Overall/Warm, all 4 datasets; last of 6 on MI/ACS",all 4,6 methods,Recall@20,"overall, warm",Table S1,"point estimate, 3-seed mean",metrics_seed.csv (variant=TaxPro-CL-main)
§5.1,Baseline rank and SimGCL-relative drop magnitude do not track together (Yelp largest drop but ranks 3rd; MI smallest drop but ranks last),"yelp2018, musical-instruments",TaxPro-CL vs. SimGCL,"Recall@20 % change, rank","overall, warm","Table 7 (deltas), Table S1","point estimate, 3-seed mean",metrics_seed.csv
§5.1,"TaxPro-CL highest harmonic mean on 3 of 4 datasets, 3rd on ACS -- NOTE: computed from a single representative checkpoint per method/dataset (validation-selected), not the 3-seed mean Recall@20 in Table S1, so it will not exactly reconcile via H=2*LT*Overall/(LT+Overall) applied to Table S1's means",all 4,6 methods,"harmonic mean(LT, Overall)",n/a (derived),"Table S10, S10b-S10d","point estimate, single selected checkpoint (see beyond_accuracy.py:select_checkpoint)",tools/analysis/beyond_accuracy.py -> results/beyond_accuracy.json
§5.1,NCL higher LT-share/coverage but lower LT-Recall@20 on ACS (17.12%/46.47% vs. 14.46%/29.80%; Recall 17.025 vs 22.112e-3),arts-crafts-and-sewing,NCL vs. TaxPro-CL,"coverage@20, LT-share@20, Recall@20",long_tail,"Table S10d, Table S1",point estimate,results/beyond_accuracy.json; metrics_seed.csv
